5, 3
5, 5
5, 7
5, 9
5, 11
5, 13
5, 15
5, 17
5, 19
5, 21
5, 23
5, 25
5, 27
5, 29
5, 31
5, 33
5, 35
5, 37
5, 39
5, 41
5, 43
5, 45
5, 47
5, 49
5, 51
5, 53
5, 55
5, 57
5, 59
5, 61
5, 63
5, 65
5, 2
5, 4
5, 6
5, 8
5, 10
5, 12
5, 14
5, 16
5, 18
5, 20
5, 22
5, 24
5, 26
5, 28
5, 30
5, 32
5, 34
5, 36
5, 38
5, 40
5, 42
5, 44
5, 46
5, 48
5, 50
5, 52
5, 54
5, 56
5, 58
5, 60
5, 62
5, 64
5, 66
5, 68
5, 70
5, 72
5, 74
5, 76
5, 3
5, 5
5, 7
5, 9
5, 11
5, 13
5, 15
5, 17
5, 19
5, 21
5, 23
5, 25
5, 27
5, 29
5, 31
5, 33
5, 35
5, 37
5, 39
5, 41
5, 43
5, 45
5, 47
5, 49
5, 51
5, 53
5, 55
5, 57
5, 59
5, 61
5, 2
5, 4
5, 6
5, 8
5, 10
5, 12
5, 14
5, 16
5, 18
5, 20
5, 22
5, 24
5, 26
5, 28
5, 30
5, 32
5, 34
5, 36
5, 38
5, 40
5, 42
5, 44
5, 46
5, 48
5, 50
5, 52
5, 54
5, 56
5, 58
5, 60
5, 62
5, 64
5, 66
5, 68
5, 70
5, 3
5, 5
5, 7
5, 9
5, 11
5, 13
5, 15
5, 17
5, 19
5, 21
5, 23
5, 25
5, 27
5, 29
5, 31
5, 33
5, 35
5, 37
5, 39
5, 41
5, 43
5, 45
5, 47
5, 49
5, 51
5, 53
5, 55
5, 57
5, 59
5, 2
5, 4
5, 6
5, 8
5, 10
5, 12
5, 14
5, 16
5, 18
5, 20
5, 22
5, 24
5, 26
5, 28
5, 30
5, 32
5, 34
5, 36
5, 38
5, 40
5, 42
5, 44
5, 46
5, 48
5, 50
5, 52
5, 54
5, 56
5, 58
5, 3
5, 5
5, 7
5, 9
5, 11
5, 13
5, 15
5, 17
5, 19
5, 21
5, 23
5, 25
5, 27
5, 29
5, 31
5, 33
5, 35
5, 37
5, 39
5, 41
5, 43
5, 45
5, 47
5, 49
5, 51
5, 53
5, 55
5, 57
5, 59
5, 61
5, 63
5, 65
5, 67
5, 69
5, 71
5, 2
5, 4
5, 6
5, 8
5, 10
5, 12
5, 14
5, 16
5, 18
5, 20
5, 22
5, 24
5, 26
5, 28
5, 30
5, 32
5, 34
5, 36
5, 38
5, 3
5, 5
5, 7
5, 9
5, 11
5, 13
5, 15
5, 17
5, 19
5, 21
5, 23
5, 25
5, 27
5, 29
5, 31
5, 33
5, 35
5, 37
5, 39
5, 41
5, 43
5, 45
5, 47
5, 49
5, 51
5, 53
5, 55
5, 57
5, 59
5, 61
5, 63
5, 65
5, 67
5, 69
5, 71
5, 73
5, 2
5, 4
5, 6
5, 8
5, 10
5, 12
5, 14
5, 16
5, 18
5, 20
5, 22
5, 24
5, 26
5, 28
5, 30
5, 32
5, 34
5, 36
5, 38
5, 40
